,Station,Easting,Northing,Zone,Grid_code,Habitat,Elevation,Slope,Aspect,Aspect_Cat2,Aspect_Cat8,Ruggedness,PopDen,RoadDen,DistPop,DistRoad
1,TAC01,483209,4623099,36,23,BL,1016,2.66209287081495,240.804272333349,S,SW,5,28.5537796020508,0.078048951923847,39531.6328125,10000
2,TAC02,482991,4625005,36,25,MF,1055,4.23119066531907,308.122493424041,N,NW,7,27.9807281494141,0.0755315721035,40208.828125,8000
3,TAC03,484331,4625443,36,25,MF,1055,4.23119066531907,308.122493424041,N,NW,7,27.9807281494141,0.0755315721035,40208.828125,8000
4,TAC05,484910,4623662,36,23,BL,1158,2.14610570050234,76.9226541130972,N,E,5,26.0225429534912,0.077688194811344,41433.6796875,10000
5,TAC06,478694,4622900,36,23,BL,997,4.23664072689839,324.963511044722,N,NW,7,34.2242584228516,0.074586451053619,35759.6171875,8246.2109375
6,TAC07,478761,4621258,36,25,MF,1060,1.09107257529399,347.186812985411,N,N,6,34.2242584228516,0.075597018003464,35110.5390625,7211.1025390625
7,TAC08,480153,4624929,36,25,MF,1080,7.08966776164149,325.061784882505,N,NW,6,30.3292980194092,0.074518695473671,38350.359375,7211.1025390625
8,TAC09,479533,4624682,36,25,MF,1080,7.08966776164149,325.061784882505,N,NW,6,30.3292980194092,0.074518695473671,38350.359375,8944.271484375
9,TAC10,481780,4623415,36,23,BL,940,1.28090182857776,207.288043293286,S,SW,5,27.9807281494141,0.074376963078976,37639.7421875,8944.271484375
10,TAR01,461068,4575059,36,25,MF,1478,1.30175401823352,311.071383618788,N,NW,4,32.4217376708984,0.164138942956924,13738.630859375,14000
11,TAR02,463146,4574848,36,25,MF,1457,2.13877769520527,276.799552856714,N,W,4,29.5655651092529,0.158796146512032,12114.0380859375,12000
12,TAR03,460839,4576993,36,25,MF,1350,2.29678551118621,336.861640845575,N,NW,6,33.3834381103516,0.170021265745163,16515.14453125,12000
13,TAR04,462943,4576886,36,25,MF,1506,2.6958605931063,277.043822214514,N,W,4,30.5145511627197,0.158861398696899,13444.326171875,12000
14,TAR05,464857,4579041,36,25,MF,1571,4.57252629020743,349.985924278024,N,N,6,31.3131771087646,0.153663590550423,13738.630859375,10000
15,TAR06,465014,4574977,36,25,MF,1591,2.45018918513924,99.7285502642011,S,E,6,27.578763961792,0.149466544389725,10618.3740234375,10000
16,TAR07,465122,4576794,36,25,MF,1546,1.24578470551827,105.824794476517,S,E,6,28.3689060211182,0.152077004313469,12114.0380859375,10000
17,TAR08,463197,4579008,36,25,MF,1451,5.83891902908915,334.006267567622,N,NW,6,34.158618927002,0.157103061676025,14924.8095703125,12000
18,TAR09,467055,4579305,36,25,MF,1478,2.61959344617018,23.594772211186,N,NE,6,29.2476215362549,0.145361825823784,12757.3544921875,8000
19,TAR10,466699,4580976,36,25,MF,1230,7.81987204884345,347.547526149247,N,N,6,31.2768268585205,0.140937328338623,14585.9560546875,8000
20,TAR11,465049,4581021,36,25,MF,1139,9.80295996889511,341.670224671527,N,N,6,33.6492500305176,0.151156812906265,15451.5380859375,10000
21,TAR12,463001,4580873,36,23,BL,986,9.9971755342615,348.963285896226,N,N,7,36.9487190246582,0.15689942240715,16515.14453125,10198.0390625
22,TAR13,461690,4578624,36,25,MF,1399,6.14481371613353,327.42252946737,N,NW,6,37.9778289794922,0.160780265927315,16271.138671875,12000
23,TAR14,461510,4580729,36,23,BL,1029,9.91635583687227,340.915058924805,N,N,7,41.2619743347168,0.159690678119659,17741.1953125,10000
24,TAR15,467127,4577068,36,25,MF,1410,4.53408705987733,116.407497798146,S,SE,5,26.7200660705566,0.147889584302902,10988.6318359375,8000
25,TAR16,467078,4575151,36,24,CF,1318,5.90520833413743,99.6703572779114,S,E,6,26.2087059020996,0.150197550654411,9313.962890625,8000
